id,Gene_origin,Genomic_location,Class,Metal_biocide_function,,,
BAM0061_gadX_1,Escherichia coli,Chromosome,Biocide,"Hydrochloric acid (HCl) [class: Acid], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]",,,
BAM0062_glpF_1,Escherichia coli,Chromosome,Metal,"Antimony (Sb), Arsenic (As), Glycerol [class: Alcohol]",,,
BAM0063_hdeA_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0064_hdeB_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0065_ibpA_1,Escherichia coli,Chromosome,Biocide,Hydrogen Peroxide (H2O2) [class: Peroxides],,,
BAM0066_ibpB_1,Escherichia coli,Chromosome,Biocide,Hydrogen Peroxide (H2O2) [class: Peroxides],,,
BAM0067_iclR_1,Escherichia coli,Chromosome,Biocide,Sodium acetate [class: Acetate],,,
BAM0068_iptD_1,Escherichia coli,Chromosome,Biocide,n-hexane [class: Alkane],,,
BAM0069_klaC_1,Escherichia coli,"Plasmid IncP-alpha RK2 (E. coli), Plasmid pBS228 (Pseudomonas aeruginosa)",Metal,Tellurium (Te),,,
BAM0070_marA_1,Escherichia coli,Chromosome,Biocide,"Cyclohexane [class: Cycloalkane], Diphenyl Ether [class: Phenyl], n-hexane [class: Alkane]",,,
BAM0071_marR_1,Escherichia coli,Chromosome,Biocide,"Cyclohexane [class: Cycloalkane], Diphenyl Ether [class: Phenyl], n-hexane [class: Alkane]",,,
BAM0072_mdtA_1,Escherichia coli,Chromosome,Biocide,Sodium Deoxycholate (SDC) [class: Acid],,,
BAM0073_mdtB_1,Escherichia coli,Chromosome,Biocide,"Sodium Deoxycholate (SDC) [class: Acid], Hydrochloric acid (HCl) [class: Acid]",,,
BAM0074_mdtC_1,Escherichia coli,Chromosome,Biocide,Sodium Deoxycholate (SDC) [class: Acid],,,
BAM0075_mdtE_1,Escherichia coli,Chromosome,Biocide,"Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Rhodamine 6G [class: Xanthene], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]",,,
BAM0076_mdtF_1,Escherichia coli,Chromosome,Biocide,"Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Rhodamine 6G [class: Xanthene], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]",,,
BAM0077_mdtG_1,Escherichia coli,Chromosome,Biocide,Sodium Deoxycholate (SDC) [class: Acid],,,
BAM0078_mdtI_1,Escherichia coli,Chromosome,Biocide,"Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Spermidine [class: Polyamines]",,,
BAM0079_mdtK_1,Escherichia coli,Chromosome,Biocide,"Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine]",,,
BAM0080_mdtM_1,Escherichia coli,Chromosome,Biocide,"Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Tetraphenylarsonium (TPA) [class: Quaternary Ammonium Compounds (QACs)]",,,
BAM0081_mdtN_1,Escherichia coli,Chromosome,Biocide,"Acriflavine [class: Acridine], Tetraphenylarsonium (TPA) [class: Quaternary Ammonium Compounds (QACs)]",,,
BAM0082_merA_1,Escherichia coli,plasmid pACN001-F,Metal,Mercury (Hg),,,
BAM0083_merC_1,Escherichia coli,plasmid pACN001-F,Metal,Mercury (Hg),,,
BAM0084_merE_1,Escherichia coli,plasmid pACN001-F,Metal,Mercury (Hg),,,
BAM0085_merR_1,Escherichia coli,plasmid pACN001-F,Metal,Mercury (Hg),,,
BAM0086_mntH_1,Escherichia coli,Chromosome,Metal,"Manganese (Mn), Iron (Fe), Cadmium (Cd), Cobalt (Co), Zinc (Zn)",,,
BAM0087_mntR_1,Escherichia coli,Chromosome,Metal,"Manganese (Mn), Magnesium (Mg)",,,
BAM0088_modE_1,Escherichia coli,Chromosome,Metal,"Tungsten (W), Molybdenum (Mo)",,,
