id,gene,gene_function,sub_class,class,source_organism
Bmult-g0078_vmeD,vmeD,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0079_vmeE,vmeE,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0080_vmeF,vmeF,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0081_vmeG,vmeG,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0082_vmeH,vmeH,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0083_vmeI,vmeI,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0084_vmeJ,vmeJ,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0085_vmeK,vmeK,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0086_vmeP,vmeP,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0087_vmeQ,vmeQ,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0088_vmeT,vmeT,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0089_vmeU,vmeU,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0090_vmeV,vmeV,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0091_vmeY,vmeY,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0092_vmeZ,vmeZ,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0093_vmrA,vmrA,Multi-biocide_MATE_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0094_vpoC,vpoC,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Vibrio parahaemolyticus
Bmult-g0095_ydeO,ydeO,Multi-biocide_resistance_regulator,Multi-biocide resistance,Biocides,Escherichia coli
Bmult-g096_yjcG,yjcG,Multi-biocide_resistance_protein,Multi-biocide resistance,Biocides,Escherichia coli
Bnaph-g097_arsHN,arsHN,Naphthoquinone_resistance_protein,Naphthoquinone,Biocides,Synechocystis sp. IPPAS B-1465
Bpara-g098_yddG,yddG,Paraquat_efflux_pump,Paraquat resistance,Biocides,Salmonella enterica subsp. enterica serovar Typhimurium
Bpero-g099_ibpA,ibpA,Peroxide_resistance_stress_protein,Peroxide resistance,Biocides,Escherichia coli
Bpero-g0100_ibpB,ibpB,Peroxide_resistance_stress_protein,Peroxide resistance,Biocides,Shigella sonnei
Bpero-g0101_katP,katP,catalase/peroxidase_KatP,Peroxide resistance,Biocides,Escherichia coli O157:H7
Bpero-g0102_perR,perR,peroxide_resistance_regulator,Peroxide resistance,Biocides,Staphylococcus aureus
Bpero-g0103_sodA,sodA,peroxide_resistance_protein,Peroxide resistance,Biocides,Escherichia coli
Bpero-g0104_sodA,sodA,peroxide_resistance_protein,Peroxide resistance,Biocides,Pseudomonas aeruginosa
Bpero-g0105_sodA,sodA,peroxide_resistance_protein,Peroxide resistance,Biocides,Escherichia coli
Bpero-g0106_sodB,sodB,peroxide_resistance_protein,Peroxide resistance,Biocides,Pseudomonas aeruginosa
Bpero-g0107_sodB,sodB,peroxide_resistance_protein,Peroxide resistance,Biocides,Escherichia coli
Bpero-g0108_sodB,sodB,peroxide_resistance_protein,Peroxide resistance,Biocides,Pseudomonas aeruginosa
Bpero-g0109_ydeI,ydeI,peroxide_resistance_protein,Peroxide resistance,Biocides,Escherichia coli
Bphen-g0110_fabG,fabG,Triclosan-resistant_mutation,Phenolic compound resistance,Biocides,Shigella sonnei
Bphen-g0111_fabI,fabI,Phenolic_resistance_protein,Phenolic compound resistance,Biocides,Staphylococcus aureus
Bphen-g0112_fabI,fabI,Phenolic_resistance_protein,Phenolic compound resistance,Biocides,Escherichia coli
Bphen-g0113_fabK,fabK,Phenolic_resistance_protein,Phenolic compound resistance,Biocides,Streptococcus pneumoniae
Bphen-g0114_fabL,fabL,Phenolic_resistance_protein,Phenolic compound resistance,Biocides,Bacillus subtilis
Bphen-g0115_fabV,fabV,Phenolic_resistance_protein,Phenolic compound resistance,Biocides,Vibrio cholerae C6706
Bphen-g0116_fabV,fabV,Phenolic_resistance_protein,Phenolic compound resistance,Biocides,Vibrio cholerae O1 biovar El Tor
Bphen-g0117_triA,triA,Phenolic_RND_efflux_pump,Phenolic compound resistance,Biocides,Pseudomonas aeruginosa
Bphen-g0118_triAP,triAP,Phenolic_RND_efflux_pump,Phenolic compound resistance,Biocides,Yersinia pseudotuberculosis IP 32953
Bphen-g0119_triB,triB,Phenolic_RND_efflux_pump,Phenolic compound resistance,Biocides,Pseudomonas aeruginosa
Bphen-g0120_triBP,triBP,Phenolic_RND_efflux_pump,Phenolic compound resistance,Biocides,Yersinia pseudotuberculosis IP 32953
Bphen-g0121_triC,triC,Phenolic_RND_efflux_pump,Phenolic compound resistance,Biocides,Pseudomonas aeruginosa
Bphen-g0122_triCP,triCP,Phenolic_RND_efflux_pump,Phenolic compound resistance,Biocides,Yersinia pseudotuberculosis IP 32953
Bpoly-g0123_bltD,bltD,Spermine/spermidine_acetyltransferase,Polyamine resistance,Biocides,Bacillus subtilis subsp. subtilis str. 168
Bpoly-g0124_bltD,bltD,Spermine/spermidine_acetyltransferase,Polyamine resistance,Biocides,Bacillus subtilis subsp. subtilis str. 168
Bpoly-g0125_emhB,emhB,efflux_RND_transporter_permease_subunit_EmhB,Polycyclic aromatic hydrocarbon resistance,Biocides,Pseudomonas fluorescens
Bpoly-g0126_emhC,emhC,efflux_RND_transporter_outer_membrane_subunit_EmhC,Polycyclic aromatic hydrocarbon resistance,Biocides,Pseudomonas protegens
Bpoly-g0127_srpB,srpB,solvent_efflux_RND_transporter_permease_subunit_SrpB,Polycyclic aromatic hydrocarbon resistance,Biocides,Pseudomonas putida
Bpoly-g0128_ttgD,ttgD,toluene_efflux_RND_transporter_periplasmic_adaptor_subunit_TtgD,Polycyclic aromatic hydrocarbon resistance,Biocides,Pseudomonas sp. 13159349
Bquat-g0129_qacA,qacA,quaternary_ammonium_compound_efflux_MFS_transporter_QacA,Quaternary ammonium compound resistance,Biocides,Staphylococcus aureus
Bquat-g0130_qacB,qacB,quaternary_ammonium_compound_efflux_MFS_transporter_QacB,Quaternary ammonium compound resistance,Biocides,Staphylococcus aureus
Bquat-g0131_qacB,qacB,quaternary_ammonium_compound_efflux_MFS_transporter_QacB,Quaternary ammonium compound resistance,Biocides,Staphylococcus aureus
