id,antimicrobial,Bacteria,Ref,,
betaL-g0364_CTX-M-100,"Cefotaxime, Ceftazidime, Ampicillin",,FR682582,CTX-M,
betaL-g0365_CTX-M-101,"Cefotaxime, Ceftazidime, Ampicillin",,HQ398214,CTX-M,
betaL-g0366_CTX-M-102,"Cefotaxime, Ceftazidime, Ampicillin",,HQ398215,CTX-M,
betaL-g0367_CTX-M-104,"Cefotaxime, Ceftazidime, Ampicillin",,HQ833652,CTX-M,
betaL-g0368_CTX-M-105,"Cefotaxime, Ceftazidime, Ampicillin",,HQ833651,CTX-M,
betaL-g0370a_CTX-M-107,"Cefotaxime, Ceftazidime, Ampicillin",,JF274244,_CTX-,
betaL-g0371_CTX-M-108,"Cefotaxime, Ceftazidime, Ampicillin",,JF274245,CTX-M,
betaL-g0372a_CTX-M-109,"Cefotaxime, Ceftazidime, Ampicillin",,JF274248,_CTX-,
betaL-g0375_CTX-M-111,"Cefotaxime, Ceftazidime, Ampicillin",,JF274243,CTX-M,
betaL-g0376_CTX-M-112,"Cefotaxime, Ceftazidime, Ampicillin",,JF274246,CTX-M,
betaL-g0377_CTX-M-113,"Cefotaxime, Ceftazidime, Ampicillin",,JF274247,CTX-M,
betaL-g0378_CTX-M-114,"Cefotaxime, Ceftazidime, Ampicillin",,GQ351346,CTX-M,
betaL-g0379_CTX-M-116,"Cefotaxime, Ceftazidime, Ampicillin",,JF966749,CTX-M,
betaL-g0380_CTX-M-117,"Cefotaxime, Ceftazidime, Ampicillin",,JN227085,CTX-M,
betaL-g0381_CTX-M-12,"Cefotaxime, Ceftazidime, Ampicillin",,AF305837,CTX-M,
betaL-g0382_CTX-M-121,"Cefotaxime, Ceftazidime, Ampicillin",,JN790862,CTX-M,
betaL-g0383_CTX-M-122,"Cefotaxime, Ceftazidime, Ampicillin",,JN790863,CTX-M,
betaL-g0384_CTX-M-123,"Cefotaxime, Ceftazidime, Ampicillin",,JN790864,CTX-M,
betaL-g0385_CTX-M-124,"Cefotaxime, Ceftazidime, Ampicillin",,JQ429324,CTX-M,
betaL-g0386_CTX-M-126,"Cefotaxime, Ceftazidime, Ampicillin",,AB703103,CTX-M,
betaL-g0387_CTX-M-129,"Cefotaxime, Ceftazidime, Ampicillin",,JX017364,CTX-M,
betaL-g0388_CTX-M-13,"Cefotaxime, Ceftazidime, Ampicillin",,AF252623,CTX-M,
betaL-g0389_CTX-M-130,"Cefotaxime, Ceftazidime, Ampicillin",,JX017365,CTX-M,
betaL-g0390_CTX-M-131,"Cefotaxime, Ceftazidime, Ampicillin",,JN969893,CTX-M,
betaL-g0391_CTX-M-132,"Cefotaxime, Ceftazidime, Ampicillin",,JX313020,CTX-M,
betaL-g0392_CTX-M-133,"Cefotaxime, Ceftazidime, Ampicillin",,AB185834,CTX-M,
betaL-g0393_CTX-M-134,"Cefotaxime, Ceftazidime, Ampicillin",,JX896165,CTX-M,
betaL-g0394_CTX-M-136,"Cefotaxime, Ceftazidime, Ampicillin",,KC351754,CTX-M,
betaL-g0395_CTX-M-137,"Cefotaxime, Ceftazidime, Ampicillin",,"AB900900, KF790923",CTX-M,
betaL-g0396_CTX-M-139,"Cefotaxime, Ceftazidime, Ampicillin",,KC107824,CTX-M,
betaL-g0397_CTX-M-14,"Cefotaxime, Ceftazidime, Ampicillin",,AF252622,CTX-M,
betaL-g0398_CTX-M-141,"Cefotaxime, Ceftazidime, Ampicillin",,KC964871,CTX-M,
betaL-g0399_CTX-M-142,"Cefotaxime, Ceftazidime, Ampicillin",,KF240809,CTX-M,
betaL-g0400_CTX-M-147,"Cefotaxime, Ceftazidime, Ampicillin",,KF513180,CTX-M,
betaL-g0401_CTX-M-15,"Cefotaxime, Ceftazidime, Ampicillin",,AY044436,CTX-M,
betaL-g0402_CTX-M-16,"Cefotaxime, Ceftazidime, Ampicillin",,AY029068,CTX-M,
betaL-g0403_CTX-M-17,"Cefotaxime, Ceftazidime, Ampicillin",,AY033516,CTX-M,
betaL-g0404_CTX-M-19,"Cefotaxime, Ceftazidime, Ampicillin",,AF325134,CTX-M,
betaL-g0405_CTX-M-2,"Cefotaxime, Ceftazidime, Ampicillin",,X92507,CTX-M,
betaL-g0406_CTX-M-20,"Cefotaxime, Ceftazidime, Ampicillin",,AJ416344,CTX-M,
betaL-g0407_CTX-M-21,"Cefotaxime, Ceftazidime, Ampicillin",,AJ416346,CTX-M,
betaL-g0408_CTX-M-22,"Cefotaxime, Ceftazidime, Ampicillin",,AY080894,CTX-M,
betaL-g0409_CTX-M-23,"Cefotaxime, Ceftazidime, Ampicillin",,AF488377,CTX-M,
betaL-g0410_CTX-M-24,"Cefotaxime, Ceftazidime, Ampicillin",,AY143430,CTX-M,
betaL-g0411_CTX-M-25,"Cefotaxime, Ceftazidime, Ampicillin",,AF518567,CTX-M,
betaL-g0412_CTX-M-26,"Cefotaxime, Ceftazidime, Ampicillin",,AY157676,CTX-M,
betaL-g0413_CTX-M-27,"Cefotaxime, Ceftazidime, Ampicillin",,AY156923,CTX-M,
betaL-g0414_CTX-M-28,"Cefotaxime, Ceftazidime, Ampicillin",,AJ549244,CTX-M,
betaL-g0415_CTX-M-29,"Cefotaxime, Ceftazidime, Ampicillin",,AY267213,CTX-M,
betaL-g0417_CTX-M-30,"Cefotaxime, Ceftazidime, Ampicillin",,AY292654,CTX-M,
betaL-g0418_CTX-M-31,"Cefotaxime, Ceftazidime, Ampicillin",,AJ567481,CTX-M,
betaL-g0419_CTX-M-32,"Cefotaxime, Ceftazidime, Ampicillin",,AJ557142,CTX-M,
betaL-g0420_CTX-M-33,"Cefotaxime, Ceftazidime, Ampicillin",,AY238472,CTX-M,
betaL-g0421_CTX-M-34,"Cefotaxime, Ceftazidime, Ampicillin",,AY515297,CTX-M,
betaL-g0422_CTX-M-35,"Cefotaxime, Ceftazidime, Ampicillin",,AB176534,CTX-M,
betaL-g0423_CTX-M-36,"Cefotaxime, Ceftazidime, Ampicillin",,AB177384,CTX-M,
betaL-g0424_CTX-M-37,"Cefotaxime, Ceftazidime, Ampicillin",,AY649755,CTX-M,
betaL-g0425_CTX-M-38,"Cefotaxime, Ceftazidime, Ampicillin",,AY822595,CTX-M,
betaL-g0426_CTX-M-39,"Cefotaxime, Ceftazidime, Ampicillin",,AY954516,CTX-M,
betaL-g0427_CTX-M-4,"Cefotaxime, Ceftazidime, Ampicillin",,Y14156,CTX-M,
betaL-g0428_CTX-M-40,"Cefotaxime, Ceftazidime, Ampicillin",,AY750914,CTX-M,
betaL-g0429_CTX-M-41,"Cefotaxime, Ceftazidime, Ampicillin",,DQ023162,CTX-M,
betaL-g0430_CTX-M-42,"Cefotaxime, Ceftazidime, Ampicillin",,DQ061159,CTX-M,
betaL-g0431_CTX-M-43,"Cefotaxime, Ceftazidime, Ampicillin",,DQ102702,CTX-M,
betaL-g0432_CTX-M-44,"Cefotaxime, Ceftazidime, Ampicillin",,D37830,CTX-M,
betaL-g0433_CTX-M-45,"Cefotaxime, Ceftazidime, Ampicillin",,D89862,CTX-M,
betaL-g0434_CTX-M-46,"Cefotaxime, Ceftazidime, Ampicillin",,AY847147,CTX-M,
betaL-g0435_CTX-M-47,"Cefotaxime, Ceftazidime, Ampicillin",,AY847143,CTX-M,
betaL-g0436_CTX-M-48,"Cefotaxime, Ceftazidime, Ampicillin",,AY847144,CTX-M,
betaL-g0437_CTX-M-49,"Cefotaxime, Ceftazidime, Ampicillin",,AY847145,CTX-M,
betaL-g0438_CTX-M-5,"Cefotaxime, Ceftazidime, Ampicillin",,U95364,CTX-M,
betaL-g0439_CTX-M-50,"Cefotaxime, Ceftazidime, Ampicillin",,AY847146,CTX-M,
betaL-g0440_CTX-M-51,"Cefotaxime, Ceftazidime, Ampicillin",,DQ211987,CTX-M,
betaL-g0441_CTX-M-52,"Cefotaxime, Ceftazidime, Ampicillin",,DQ223685,CTX-M,
betaL-g0442_CTX-M-53,"Cefotaxime, Ceftazidime, Ampicillin",,DQ268764,CTX-M,
betaL-g0443_CTX-M-54,"Cefotaxime, Ceftazidime, Ampicillin",,DQ303459,CTX-M,
betaL-g0444_CTX-M-55,"Cefotaxime, Ceftazidime, Ampicillin",,DQ885477,CTX-M,
betaL-g0445_CTX-M-56,"Cefotaxime, Ceftazidime, Ampicillin",,EF374097,CTX-M,
betaL-g0446_CTX-M-58,"Cefotaxime, Ceftazidime, Ampicillin",,EF210159,CTX-M,
betaL-g0447_CTX-M-59,"Cefotaxime, Ceftazidime, Ampicillin",,DQ408762,CTX-M,
betaL-g0448_CTX-M-6,"Cefotaxime, Ceftazidime, Ampicillin",,AJ005044,CTX-M,
betaL-g0449_CTX-M-60,"Cefotaxime, Ceftazidime, Ampicillin",,AM411407,CTX-M,
betaL-g0450_CTX-M-61,"Cefotaxime, Ceftazidime, Ampicillin",,EF219142,CTX-M,
betaL-g0451_CTX-M-62,"Cefotaxime, Ceftazidime, Ampicillin",,EF219134,CTX-M,
betaL-g0452_CTX-M-63,"Cefotaxime, Ceftazidime, Ampicillin",,AB205197,CTX-M,
betaL-g0453_CTX-M-64,"Cefotaxime, Ceftazidime, Ampicillin",,AB284167,CTX-M,
betaL-g0454_CTX-M-65,"Cefotaxime, Ceftazidime, Ampicillin",,EF418608,CTX-M,
betaL-g0455_CTX-M-66,"Cefotaxime, Ceftazidime, Ampicillin",,EF576988,CTX-M,
betaL-g0456_CTX-M-67,"Cefotaxime, Ceftazidime, Ampicillin",,EF581888,CTX-M,
betaL-g0457_CTX-M-68,"Cefotaxime, Ceftazidime, Ampicillin",,EU177100,CTX-M,
betaL-g0458_CTX-M-69,"Cefotaxime, Ceftazidime, Ampicillin",,EU402393,CTX-M,
betaL-g0459_CTX-M-7,"Cefotaxime, Ceftazidime, Ampicillin",,AJ005045,CTX-M,
betaL-g0460_CTX-M-71,"Cefotaxime, Ceftazidime, Ampicillin",,FJ815436,CTX-M,
betaL-g0461_CTX-M-72,"Cefotaxime, Ceftazidime, Ampicillin",,AY847148,CTX-M,
betaL-g0464_CTX-M-76,"Cefotaxime, Ceftazidime, Ampicillin",,AM982520,CTX-M,
betaL-g0465_CTX-M-77,"Cefotaxime, Ceftazidime, Ampicillin",,AM982521,CTX-M,
betaL-g0466_CTX-M-78,"Cefotaxime, Ceftazidime, Ampicillin",,AM982522,CTX-M,
betaL-g0467_CTX-M-79,"Cefotaxime, Ceftazidime, Ampicillin",,EF426798,CTX-M,
betaL-g0468_CTX-M-8,"Cefotaxime, Ceftazidime, Ampicillin",,AF189721,CTX-M,
betaL-g0469_CTX-M-80,"Cefotaxime, Ceftazidime, Ampicillin",,EU202673,CTX-M,
betaL-g0470_CTX-M-81,"Cefotaxime, Ceftazidime, Ampicillin",,EU136031,CTX-M,
betaL-g0471_CTX-M-82,"Cefotaxime, Ceftazidime, Ampicillin",,DQ256091,CTX-M,
betaL-g0472_CTX-M-83,"Cefotaxime, Ceftazidime, Ampicillin",,FJ214366,CTX-M,
betaL-g0473_CTX-M-84,"Cefotaxime, Ceftazidime, Ampicillin",,FJ214367,CTX-M,
betaL-g0474_CTX-M-85,"Cefotaxime, Ceftazidime, Ampicillin",,FJ214368,CTX-M,
betaL-g0475_CTX-M-86,"Cefotaxime, Ceftazidime, Ampicillin",,FJ214369,CTX-M,
betaL-g0476_CTX-M-87,"Cefotaxime, Ceftazidime, Ampicillin",,EU545409,CTX-M,
betaL-g0477_CTX-M-88,"Cefotaxime, Ceftazidime, Ampicillin",,FJ873739,CTX-M,
betaL-g0478_CTX-M-89,"Cefotaxime, Ceftazidime, Ampicillin",,FJ971899,CTX-M,
betaL-g0479_CTX-M-9,"Cefotaxime, Ceftazidime, Ampicillin",,AF174129,CTX-M,
betaL-g0480_CTX-M-90,"Cefotaxime, Ceftazidime, Ampicillin",,FJ907381,CTX-M,
betaL-g0481_CTX-M-91,"Cefotaxime, Ceftazidime, Ampicillin",,GQ870432,CTX-M,
betaL-g0482_CTX-M-92,"Cefotaxime, Ceftazidime, Ampicillin",,GU127598,CTX-M,
betaL-g0483_CTX-M-93,"Cefotaxime, Ceftazidime, Ampicillin",,HQ166709,CTX-M,
betaL-g0484_CTX-M-94,"Cefotaxime, Ceftazidime, Ampicillin",,HM167760,CTX-M,
betaL-g0485_CTX-M-95,"Cefotaxime, Ceftazidime, Ampicillin",,FN813245,CTX-M,
betaL-g0486_CTX-M-96,"Cefotaxime, Ceftazidime, Ampicillin",,AJ704396,CTX-M,
betaL-g0487_CTX-M-97,"Cefotaxime, Ceftazidime, Ampicillin",,HM776707,CTX-M,
betaL-g0488_CTX-M-98,"Cefotaxime, Ceftazidime, Ampicillin",,HM755448,CTX-M,
betaL-g0489_CTX-M-99,"Cefotaxime, Ceftazidime, Ampicillin",,HM803271,CTX-M,
betaL-g0490_DES-1,"Cefotaxime, Ceftazidime, Ampicillin",,AF426161,DES-1,ESBL
betaL-g0491_DHA-1,"Cefotaxime, Ceftazidime, Ampicillin",,Y16410,DHA-1,
betaL-g0492_DHA-12,"Cefotaxime, Ceftazidime, Ampicillin",,HG798963,DHA-1,
betaL-g0493_DHA-2,"Cefotaxime, Ceftazidime, Ampicillin",,AF259520,DHA-2,
betaL-g0494_DHA-3,"Cefotaxime, Ceftazidime, Ampicillin",,AY494945,DHA-3,
betaL-g0495a_DHA-5,,,JF273491,_DHA-,
betaL-g0496_DHA-6,"Cefotaxime, Ceftazidime, Ampicillin",,HQ322612,DHA-6,
betaL-g0497_DHA-7,"Cefotaxime, Ceftazidime, Ampicillin",,HQ456945,DHA-7,
betaL-g0498_DIM-1,,,GU323019,DIM-1,
betaL-g0499_EBR-1,,,AF416700,EBR-1,
betaL-g0500_ERP-1,"Cefotaxime, Ceftazidime, Ampicillin",,AY077733,ERP-1,ESBL
betaL-g0501_FAR-1,,,AF024601,FAR-1,
betaL-g0502_FIM-1,,,JX570731,FIM-1,
betaL-g0503_FONA-1,"Cefotaxime, Ceftazidime, Ampicillin",,AJ251239,FONA-,
betaL-g0504_FONA-2,"Cefotaxime, Ceftazidime, Ampicillin",,AJ251240,FONA-,
betaL-g0505_FONA-3,"Cefotaxime, Ceftazidime, Ampicillin",,AJ251241,FONA-,
betaL-g0506a_FONA-4,,,AJ251242,_FONA,
betaL-g0507_FONA-5,"Cefotaxime, Ceftazidime, Ampicillin",,AJ251243,FONA-,
betaL-g0508_FONA-6,"Cefotaxime, Ceftazidime, Ampicillin",,AJ251244,FONA-,
betaL-g0509_FOX-1,"Cefotaxime, Ceftazidime, Ampicillin",,X77455,FOX-1,
betaL-g0510_FOX-10,"Cefotaxime, Ceftazidime, Ampicillin",,JX049131,FOX-1,
betaL-g0511_FOX-2,"Cefotaxime, Ceftazidime, Ampicillin",,Y10282,FOX-2,
betaL-g0512_FOX-3,"Cefotaxime, Ceftazidime, Ampicillin",,Y11068,FOX-3,
betaL-g0513_FOX-4,"Cefotaxime, Ceftazidime, Ampicillin",,AJ277535,FOX-4,
betaL-g0514_FOX-5,"Cefotaxime, Ceftazidime, Ampicillin",,AY007369,FOX-5,
betaL-g0516_FOX-7,"Cefotaxime, Ceftazidime, Ampicillin",,AJ703795,FOX-7,
betaL-g0517_FOX-8,"Cefotaxime, Ceftazidime, Ampicillin",,HM565917,FOX-8,
betaL-g0518_FOX-9,"Cefotaxime, Ceftazidime, Ampicillin",,JF896803,FOX-9,
betaL-g0520_GES-1,,,AF156486,GES-1,2f ESBL view
betaL-g0521_GES-10,,,FJ820124,GES-1,2f ESBL view
betaL-g0522_GES-11,,,FJ854362,GES-1,2f ESBL view
betaL-g0523_GES-12,,,FN554543,GES-1,2f ESBL view
betaL-g0524_GES-13,,,GU169702,GES-1,2f ESBL view
betaL-g0525_GES-14,,,GU207844,GES-1,2f ESBL view
betaL-g0526_GES-15,,,GU208678,GES-1,2f ESBL view
betaL-g0527_GES-16,,,HM173356,GES-1,2f ESBL view
betaL-g0528_GES-17,,,HQ874631,GES-1,2f ESBL view
betaL-g0529_GES-18,,,JQ028729,GES-1,2f ESBL view
betaL-g0530_GES-19,,,JN596280,GES-1,2f ESBL view
betaL-g0531_GES-2,,,AF326355,GES-2,2f ESBL
betaL-g0532_GES-20,,,JN596280,GES-2,2f ESBL
betaL-g0533_GES-21,,,JQ772478,GES-2,2f ESBL
betaL-g0534_GES-22,,,JX023441,GES-2,2f ESBL
betaL-g0536_GES-3,,,AB113580,GES-3,2f ESBL
betaL-g0537_GES-4,,,AB116260,GES-4,2f carbapenemase
betaL-g0538_GES-5,,,DQ236171,GES-5,2f carbapenemase view
betaL-g0539_GES-6,,,AY494718,GES-6,2f IR carbapenemase
betaL-g0540_GES-7,,,AF208529,GES-7,2f ESBL
betaL-g0541_GES-8,,,AF329699,GES-8,2f ESBL
betaL-g0542_GES-9,,,AY920928,GES-9,2f ESBL
betaL-g0543_GIM-1,,,JX566708,GIM-1,
betaL-g0545_GOB-1,3a,,AF090141,GOB-1,
betaL-g0546_GOB-10,,,AY647247,GOB-1,
betaL-g0547_GOB-11,,,AY647248,GOB-1,
betaL-g0548_GOB-12,,,AY647249,GOB-1,
betaL-g0549_GOB-13,,,AY647250,GOB-1,
betaL-g0550_GOB-14,,,AY647252,GOB-1,
betaL-g0551_GOB-15,,,AY775547,GOB-1,
betaL-g0552_GOB-16,,,GU188443,GOB-1,
betaL-g0554_GOB-18,,,DQ004496,GOB-1,
betaL-g0559_GOB-8,,,AY348327,GOB-8,
betaL-g0560_GOB-9,,,AY647246,GOB-9,
betaL-g0561_HERA-1,,,"AF311385, AJ536091",HERA-,
betaL-g0562_HERA-2,,,AF398334,HERA-,
betaL-g0563_HERA-3,,,AF398335,HERA-,
betaL-g0564_HERA-4,,,AJ536088,HERA-,
betaL-g0565_HERA-5,,,AJ536089,HERA-,
betaL-g0566_HERA-6,,,AJ536090,HERA-,
betaL-g0568_HERA-8,,,AJ536092,HERA-,
betaL-g0569_hugA,"Cefotaxime, Ceftazidime, Ampicillin",,AF324468,hugA,
betaL-g0573_IMI-1,"Amoxicillin, AmoxicillinClavulanic acid, Ampicillin, AmpicillinClavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, PiperacillinTazobactam",,U50278,IMI-1,2f carbapenemase
betaL-g0574_IMI-2,"Amoxicillin, AmoxicillinClavulanic acid, Ampicillin, AmpicillinClavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, PiperacillinTazobactam",,"DQ173429, JN412066",IMI-2,2f carbapenemase
betaL-g0576_IMI-3,"Amoxicillin, AmoxicillinClavulanic acid, Ampicillin, AmpicillinClavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, PiperacillinTazobactam",,GU015024,IMI-3,2f carbapenemase
betaL-g0578_IMI-4,"Amoxicillin, AmoxicillinClavulanic acid, Ampicillin, AmpicillinClavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, PiperacillinTazobactam",,KF958750,IMI-4,2f carbapenemase
betaL-g0579_IMP-1,,,S71932,IMP-1,
betaL-g0580_IMP-10,,,AB074433,IMP-1,
betaL-g0581_IMP-11,,,AB074436,IMP-1,
betaL-g0582_IMP-12,,,AJ420864,IMP-1,
betaL-g0583_IMP-13,,,AJ550807,IMP-1,
betaL-g0584_IMP-14,,,AY553332,IMP-1,
betaL-g0585_IMP-15,,,AY553333,IMP-1,
betaL-g0586_IMP-16,,,AJ584652,IMP-1,
betaL-g0587_IMP-18,,,AY780674,IMP-1,
betaL-g0588_IMP-19,,,EF118171,IMP-1,
betaL-g0589_IMP-2,,,AJ243491,IMP-2,
betaL-g0590_IMP-20,,,AB196988,IMP-2,
betaL-g0591_IMP-21,,,AB204557,IMP-2,
betaL-g0592_IMP-22,,,DQ361087,IMP-2,
betaL-g0593_IMP-24,,,EF192154,IMP-2,
betaL-g0594_IMP-25,,,EU541448,IMP-2,
betaL-g0595_IMP-26,,,GU045307,IMP-2,
betaL-g0596_IMP-27,,,JF894248,IMP-2,
betaL-g0597_IMP-28,,,JQ407409,IMP-2,
betaL-g0598_IMP-29,,,HQ438058,IMP-2,
betaL-g0599_IMP-3,,,AB010417,IMP-3,
betaL-g0600_IMP-30,,,DQ522237,IMP-3,
betaL-g0601_IMP-31,,,KF148593,IMP-3,
betaL-g0602_IMP-32,,,JQ002629,IMP-3,
betaL-g0603_IMP-33,,,JN848782,IMP-3,
betaL-g0604_IMP-34,,,AB715422,IMP-3,
betaL-g0605_IMP-35,,,JF816544,IMP-3,
betaL-g0606_IMP-37,,,JX131372,IMP-3,
betaL-g0607_IMP-38,,,HQ875573,IMP-3,
betaL-g0608_IMP-4,,,AF244145,IMP-4,
betaL-g0609_IMP-40,,,AB753457,IMP-4,
betaL-g0610_IMP-41,,,AB753458,IMP-4,
betaL-g0611_IMP-42,,,AB753456,IMP-4,
betaL-g0612_IMP-43,,,AB777500,IMP-4,
betaL-g0613_IMP-44,,,AB777501,IMP-4,
betaL-g0614_IMP-5,,,AF290912,IMP-5,
betaL-g0615_IMP-6,,,AB040994,IMP-6,
betaL-g0616_IMP-7,,,AF318077,IMP-7,
betaL-g0617_IMP-8,,,AF322577,IMP-8,
betaL-g0618_IMP-9,,,KC543497,IMP-9,
betaL-g0619_IND-1,,,AF099139,IND-1,
betaL-g0620a_IND-10,,,GU206353,_IND-,
betaL-g0621_IND-11,,,HM245379,IND-1,
betaL-g0622_IND-12,,,HM245380,IND-1,
betaL-g0623_IND-14,,,HM367709,IND-1,
betaL-g0624_IND-15,,,AB563173,IND-1,
betaL-g0625_IND-2,,,AF219127,IND-2,
betaL-g0626_IND-2a,,,AF219130,IND-2,
betaL-g0627_IND-3,,,AF219131,IND-3,
betaL-g0628_IND-4,,,AF219135,IND-4,
betaL-g0629_IND-5,,,AY504627,IND-5,
betaL-g0630a_IND-6,,,AM087455,_IND-,
betaL-g0631_IND-7,,,AB529520,IND-7,
betaL-g0632_IND-8,,,GU186044,IND-8,
betaL-g0633_IND-9,,,GU186045,IND-9,
betaL-g0634_JOHN-1,,,AY028464,JOHN-,
betaL-g0635_KHM-1,,,AB443628,KHM-1,
betaL-g0637_KLUC-2,"Cefotaxime, Ceftazidime, Ampicillin",,EF057432,KLUC-,
betaL-g0638_KLUG-1,"Cefotaxime, Ceftazidime, Ampicillin",,AF501233,KLUG-,
betaL-g0639_KPC-10,,,GQ140348,KPC-1,
betaL-g0640_KPC-11,,,HM066995,KPC-1,
betaL-g0641_KPC-12,,,HQ342889,KPC-1,
betaL-g0643_KPC-14,,,JX524191,KPC-1,
betaL-g0644_KPC-15,,,KC433553,KPC-1,
betaL-g0645_KPC-16,,,KC465199,KPC-1,
betaL-g0646_KPC-17,,,KC465200,KPC-1,
betaL-g0647_KPC-2,,,AY034847,KPC-2,2f carbapenemase view
betaL-g0648_KPC-3,,,AF395881,KPC-3,2f carbapenemase
betaL-g0650_KPC-5,,,EU400222,KPC-5,2f carbapenemase
betaL-g0651_KPC-6,,,EU555534,KPC-6,2f carbapenemase
betaL-g0652_KPC-7,,,EU729727,KPC-7,2f carbapenemase
betaL-g0653_KPC-8,,,FJ234412,KPC-8,2f IR carbapenemase
betaL-g0655_L-1,,,AJ272109,L-1,
betaL-g0656_L-2,,,EF126086,L-2,
betaL-g0657_LAP-1,Ampicillin,,EF026092,LAP-1,narrow spectrum
betaL-g0658_LAP-2,Ampicillin,,EU159120,LAP-2,
betaL-g0659_LAT-1,"Cefotaxime, Ceftazidime, Ampicillin",,X78117,LAT-1,
betaL-g0661a_LEN-1,,,X04515,_LEN-,
betaL-g0667_LEN-15,,,AF452105,LEN-1,broad spectrum
betaL-g0668_LEN-16,,,AY743416,LEN-1,broad spectrum
betaL-g0669_LEN-18,,,AM850908,LEN-1,broad spectrum
betaL-g0670_LEN-19,,,AM850909,LEN-1,broad spectrum
betaL-g0671_LEN-2,,,AY037780,LEN-2,broad spectrum
betaL-g0672_LEN-20,,,AM850910,LEN-2,broad spectrum
betaL-g0673_LEN-21,,,AM850911,LEN-2,broad spectrum
betaL-g0674_LEN-22,,,AM850912,LEN-2,broad spectrum
betaL-g0675_LEN-23,,,AM850913,LEN-2,broad spectrum
betaL-g0676a_LEN-24,,,AM850914,_LEN-,
betaL-g0679_LEN-5,,,AY633109,LEN-5,broad spectrum
betaL-g0684_LUT-1,"Cefotaxime, Ceftazidime, Ampicillin",,AY695112,LUT-1,ESBL
betaL-g0685_M-1,,,HQ605913,M-1,
betaL-g0686_MAL-1,,,AJ277209,MAL-1,
betaL-g0687_MAL-2,,,AF359512,MAL-2,
betaL-g0688_MIR-1,,,M37839,MIR-1,
betaL-g0689_MIR-2,"Cefotaxime, Ceftazidime, Ampicillin",,AY227752,MIR-2,
betaL-g0690_MIR-3,"Cefotaxime, Ceftazidime, Ampicillin",,AY743435,MIR-3,
betaL-g0691_MIR-4,"Cefotaxime, Ceftazidime, Ampicillin",,EF417572,MIR-4,
betaL-g0692_MIR-5,"Cefotaxime, Ceftazidime, Ampicillin",,FJ237367,MIR-5,
betaL-g0693_MIR-6,"Cefotaxime, Ceftazidime, Ampicillin",,JQ664733,MIR-6,
betaL-g0695_MOR-2,"Cefotaxime, Ceftazidime, Ampicillin",,AY235804,MOR-2,
betaL-g0696_MOX-1,"Cefotaxime, Ceftazidime, Ampicillin",,D13304,MOX-1,
betaL-g0697_MOX-2,"Cefotaxime, Ceftazidime, Ampicillin",,AJ276453,MOX-2,
betaL-g0698_MOX-3,"Cefotaxime, Ceftazidime, Ampicillin",,EU515248,MOX-3,
betaL-g0699_MOX-4,"Cefotaxime, Ceftazidime, Ampicillin",,FJ262599,MOX-4,
betaL-g0700_MOX-5,"Cefotaxime, Ceftazidime, Ampicillin",,GQ152600,MOX-5,
betaL-g0701_MOX-6,"Cefotaxime, Ceftazidime, Ampicillin",,GQ152601,MOX-6,
betaL-g0702_MOX-7,"Cefotaxime, Ceftazidime, Ampicillin",,GQ152602,MOX-7,
betaL-g0703_MUS-1,,,AF441286,MUS-1,
betaL-g0704_NDM-1,Meropenem,,FN396876,NDM-1,
betaL-g0705_NDM-10,,,KF361506,NDM-1,
betaL-g0706_NDM-2,,,JF703135,NDM-2,
betaL-g0707_NDM-3,,,JQ734687,NDM-3,
betaL-g0708_NDM-4,,,JQ348841,NDM-4,
betaL-g0709_NDM-5,,,JN104597,NDM-5,
betaL-g0710_NDM-6,,,JN967644,NDM-6,
betaL-g0711_NDM-7,,,JX262694,NDM-7,
betaL-g0712_NDM-8,,,AB744718,NDM-8,
betaL-g0713_NDM-9,,,KC999080,NDM-9,
betaL-g0714_NMC-A,,,Z21956,NMC-A,
betaL-g0715_NPS-1,,,AY027589,NPS-1,
betaL-g0716_OCH-2,"Cefotaxime, Ceftazidime, Ampicillin",,AJ295340,OCH-2,
betaL-g0717_OCH-3,"Cefotaxime, Ceftazidime, Ampicillin",,AJ295341,OCH-3,
betaL-g0718_OCH-4,"Cefotaxime, Ceftazidime, Ampicillin",,AJ295342,OCH-4,
betaL-g0719_OCH-5,"Cefotaxime, Ceftazidime, Ampicillin",,AJ295343,OCH-5,
betaL-g0720_OCH-6,"Cefotaxime, Ceftazidime, Ampicillin",,AJ295344,OCH-6,
betaL-g0721_OCH-7,"Cefotaxime, Ceftazidime, Ampicillin",,AJ295345,OCH-7,
betaL-g0722_OCH-8,"Cefotaxime, Ceftazidime, Ampicillin",,DQ489307,OCH-8,
betaL-g0723_OHIO-1,,,M33655,OHIO-,
betaL-g0724_OKP-A-1,,,AM051138,OKP-A,
betaL-g0725_OKP-A-10,,,AM051149,OKP-A,
