id,antimicrobial,Bacteria,Ref,,
betaL-g0195_ADC-7,"Cefotaxime, Ceftazidime, Ampicillin",,AY648950,ADC-7,
betaL-g0196_AER-1,Ampicillin,,U14748,AER-1,carbenicillinase
betaL-g0197_ampC_Chr,,,U00096,ampC_,
betaL-g0199_AST-1,,,AF279904,AST-1,broad spectrum
betaL-g0201_B-10,,,AY348325,B-10,
betaL-g0202_B-11,,,AY348326,B-11,
betaL-g0203_B-12,,,EF595958,B-12,
betaL-g0204_B-13,,,EF595959,B-13,
betaL-g0205_B-14,,,JN635697,B-14,
betaL-g0206_B-2,,,AF189300,B-2,
betaL-g0207_B-3,,,AF189301,B-3,
betaL-g0209_B-5,,,AF189303,B-5,
betaL-g0210_B-6,,,AF189302,B-6,
betaL-g0211_B-7,,,AF189304,B-7,
betaL-g0212_B-8,,,AF189305,B-8,
betaL-g0213_B-9,,,AY348324,B-9,
betaL-g0214_BEL-1,"Cefotaxime, Ceftazidime, Ampicillin",,DQ089809,BEL-1,2be ESBL
betaL-g0215_BEL-2,"Cefotaxime, Ceftazidime, Ampicillin",,FJ666063,BEL-2,2be ESBL
betaL-g0216_BEL-3,"Cefotaxime, Ceftazidime, Ampicillin",,GQ202694,BEL-3,2be ESBL
betaL-g0217_BES-1,"Cefotaxime, Ceftazidime, Ampicillin",,NC_019267,BES-1,2be ESBL
betaL-g0218_BIC-1,"Cefotaxime, Ceftazidime, Ampicillin",,GQ260093,BIC-1,carbapenemase
betaL-g0219_BIL-1,"Cefotaxime, Ceftazidime, Ampicillin",,X74512,BIL-1,
betaL-g0220_BRO-1,,,U49269,BRO-1,
betaL-g0221_CARB-1,"Ampicillin, Amoxicillin, Piperacillin",,AF313471,CARB-,
betaL-g0222_CARB-10,"Amoxicillin, Ampicillin, AmpicillinClavulanic acid, Cefepime, Piperacillin, PiperacillinTazobactam",,EU850412,CARB-,
betaL-g0224_CARB-2,"Ampicillin, Amoxicillin, Piperacillin",,"FJ172675, M69058",CARB-,
betaL-g0225_CARB-3,"Ampicillin, Amoxicillin, Piperacillin",,S46063,CARB-,
betaL-g0226_CARB-4,"Ampicillin, Amoxicillin, Piperacillin",,U14749,CARB-,
betaL-g0227_CARB-5,"Ampicillin, Amoxicillin, Piperacillin",,AF135373,CARB-,
betaL-g0228_CARB-6,"Ampicillin, Amoxicillin, Piperacillin",,AF030945,CARB-,
betaL-g0229_CARB-7,"Ampicillin, Amoxicillin, Piperacillin",,AF409092,CARB-,
betaL-g0230_CARB-8,"Ampicillin, Amoxicillin, Piperacillin",,AY178993,CARB-,
betaL-g0231_CARB-9,"Ampicillin, Amoxicillin, Piperacillin",,AY248038,CARB-,
betaL-g0232_CblA,cephaloridine,Bacteroides uniformis,L08472,CblA,
betaL-g0233_CepA,"Cefotaxime, Ceftazidime, Ampicillin",,FR688023,CepA,
betaL-g0235_CepA-29,"Cefotaxime, Ceftazidime, Ampicillin",,U05884,CepA-,
betaL-g0236_CepA-44,"Cefotaxime, Ceftazidime, Ampicillin",,U05885,CepA-,
betaL-g0237_CepA-85,"Cefotaxime, Ceftazidime, Ampicillin",,U05887,CepA-,
betaL-g0238_CFE-1,"Cefotaxime, Ceftazidime, Ampicillin",,AB107899,CFE-1,
betaL-g0239_cfiA-1,,,AB087225,cfiA-,
betaL-g0240_cfiA-10,,,AB087227,cfiA-,
betaL-g0241_cfiA-11,,,AB087229,cfiA-,
betaL-g0243_cfiA-13,,,FM200787,cfiA-,
betaL-g0244_cfiA-14,,,FM200789,cfiA-,
betaL-g0253_cfiA-8,,,AB087233,cfiA-,
betaL-g0254_cfiA-9,,,AB087234,cfiA-,
betaL-g0255_cfxA,"Cefotaxime, Ceftazidime, Ampicillin",,U38243,cfxA,
betaL-g0257_cfxA-4,"Cefotaxime, Ceftazidime, Ampicillin",,AY769933,cfxA-,
betaL-g0258_cfxA-5,"Cefotaxime, Ceftazidime, Ampicillin",,AY769934,cfxA-,
betaL-g0259_cfxA-6,"Cefotaxime, Ceftazidime, Ampicillin",,GQ342996,cfxA-,
betaL-g0260_CGA-1,,,AF339733,CGA-1,2be ESBL
betaL-g0261_CGB-1,,,AF339734,CGB-1,
betaL-g0262_CIA-1,"Cefotaxime, Ceftazidime, Ampicillin",,AB639753,CIA-1,ESBL
betaL-g0263_CIA-2,"Cefotaxime, Ceftazidime, Ampicillin",,AB674566,CIA-2,ESBL
betaL-g0264_CIA-3,"Cefotaxime, Ceftazidime, Ampicillin",,AB674567,CIA-3,ESBL
betaL-g0265_CIA-4,"Cefotaxime, Ceftazidime, Ampicillin",,AB674568,CIA-4,ESBL
betaL-g0266_CKO-1,"Cefotaxime, Ceftazidime, Ampicillin",,AF477396,CKO-1,broad spectrum
betaL-g0267_CME-1,"Cefotaxime, Ceftazidime, Ampicillin",,AJ006275,CME-1,ESBL
betaL-g0268_CME-2,"Cefotaxime, Ceftazidime, Ampicillin",,EF394446,CME-2,ESBL
betaL-g0270_CMH-1,"Cefotaxime, Ceftazidime, Ampicillin",,JQ673557,CMH-1,
betaL-g0271_CMY-1,"Cefotaxime, Ceftazidime, Ampicillin",,X92508,CMY-1,
betaL-g0272a_CMY-10,,,AF357597,_CMY-,
betaL-g0273_CMY-104,"Cefotaxime, Ceftazidime, Ampicillin",,KF150216,CMY-1,
betaL-g0274a_CMY-11,,,AF357599,_CMY-,
betaL-g0275_CMY-110,"Cefotaxime, Ceftazidime, Ampicillin",,AB872957,CMY-1,
betaL-g0277_CMY-13,"Cefotaxime, Ceftazidime, Ampicillin",,AY339625,CMY-1,
betaL-g0278_CMY-14,"Cefotaxime, Ceftazidime, Ampicillin",,EU600193,CMY-1,
betaL-g0279_CMY-15,"Cefotaxime, Ceftazidime, Ampicillin",,AJ555823,CMY-1,
betaL-g0281_CMY-16,"Cefotaxime, Ceftazidime, Ampicillin",,AJ781421,CMY-1,
betaL-g0282_CMY-17,"Cefotaxime, Ceftazidime, Ampicillin",,AY513266,CMY-1,
betaL-g0283_CMY-18,"Cefotaxime, Ceftazidime, Ampicillin",,AY743434,CMY-1,
betaL-g0284_CMY-19,"Cefotaxime, Ceftazidime, Ampicillin",,AB194410,CMY-1,
betaL-g0285_CMY-2,"Cefotaxime, Ceftazidime, Ampicillin",,X91840,CMY-2,
betaL-g0286_CMY-20,"Cefotaxime, Ceftazidime, Ampicillin",,AY960293,CMY-2,
betaL-g0287_CMY-21,"Cefotaxime, Ceftazidime, Ampicillin",,DQ139328,CMY-2,
